JobNumber,Customer,State,City,,,
4531309,Charter,TX,LEANDER,,,
4570325,Charter,TX,DALE,,,
4579181,Charter,TX,MESQUITE,,,
4391763,Charter,TX,BROWNSVILLE,,,
4685639,Charter,TX,FARMERSVILLE,,,
4638045,Charter,TX,DALLAS,,,
3910860,Charter,TX,AUSTIN,,,
4571791,Charter,TX,CORPUS CHRISTI,,,
4446003,Charter,TX,FORT WORTH,,,
3973899,Charter,TX,FORT WORTH,,,
4606665,Charter,TX,GARLAND,,,
4629235,Charter,TX,KOUNTZE,,,
4662312,Charter,TX,MESQUITE,,,
4658601,Charter,TX,MESQUITE,,,
4627642,Charter,TX,KENNEDALE,,,
4301126,Charter,WI,GREEN BAY,,,
4613653,Charter,WI,FISH CREEK,,,
4639934,Charter,NC,MONROE,,,
4581383,Charter,WI,STURGEON BAY,,,
4442901,Charter,WI,MARSHFIELD,,,
4393338,Charter,MO,SULLIVAN,,,
4678040,Charter,NC,HUNTERSVILLE,,,
4622134,Charter,NC,GREENSBORO,,,
4714071,Charter,WI,MILWAUKEE,,,
4638592,Charter,WI,FOUNTAIN CITY,,,
4681004,Charter,MI,FENTON,,,
4656389,Charter,WA,PROSSER,,,
4579898,Charter,NC,FUQUAY VARINA,,,
4644856,Charter,NC,GREENSBORO,,,
4639540,Charter,SC,GAFFNEY,,,
4590963,Charter,FL,BROOKSVILLE,,,
4657562,Charter,SC,GAFFNEY,,,
4514863,Charter,TX,AUSTIN,,,
4471129,Charter,WI,HOLMEN,,,
4396703,Charter,KY,STANFORD,,,
4491083,Charter,AL,HOLLY POND,,,
4548683,Charter,FL,WILDWOOD,,,
3904856,Charter,MN,ELK RIVER,,,
4047126,Charter,AL,GUNTERSVILLE,,,
4669287,Charter,WA,PROSSER,,,
4601443,Charter,AL,ALBERTVILLE,,,
4601804,Charter,KY,LONDON,,,
4559255,Charter,NC,WAYNESVILLE,,,
4623655,Charter,AL,TRUSSVILLE,,,
4645639,Charter,KS,OVERLAND PARK,,,
4644919,Charter,NC,GREENSBORO,,,
4688139,Charter,MO,FLORISSANT,,,
4691120,Charter,MO,SULLIVAN,,,
4556430,Charter,SC,COWPENS,,,
4548455,Charter,NC,LEICESTER,,,
4247857,Charter,MI,HARRISON,,,
4379150,Charter,MN,OTSEGO,,,
4650735,Charter,MO,NORTH KANSAS CITY,,,
4571841,Charter,MO,BRIDGETON,,,
4715522,Charter,WV,CLARKSBURG,,,
3910089,Charter,ME,BANGOR,,,
4662927,Charter,NE,LINCOLN,,,
4650550,Charter,CO,GRAND JUNCTION,,,
4622176,Charter,NC,MARSHVILLE,,,
4606608,Charter,WI,STURGEON BAY,,,
4644370,Charter,CA,BAKERSFIELD,,,
4708023,Charter,LA,PEARL RIVER,,,
2529317,Charter,AL,JASPER,,,
4577693,Charter,SC,GAFFNEY,,,
4509895,Charter,WI,GERMANTOWN,,,
4613984,Charter,NC,ASHEVILLE,,,
4627991,Charter,MI,CLIO,,,
4627942,Charter,AL,ARAB,,,
4449158,Charter,WI,LA CROSSE,,,
4698534,Charter,MO,SAINT LOUIS,,,
4643004,Charter,AL,CULLMAN,,,
4618201,Charter,NC,ALEXANDER,,,
4627673,Charter,CO,GRAND JUNCTION,,,
4554143,Charter,TX,HUTCHINS,,,
4584809,Charter,OH,ATWATER,,,
4600355,Charter,CO,FRUITA,,,
2624210,Charter,TN,CLARKSVILLE,,,
4647931,Charter,NY,MOOERS FORKS,,,
